route_name,origin,destination,service_type,route_name_simple,type
P851,Mirecourt Lycee Agricole,Nancy,day,Mirecourt Lycee Agricole → Nancy,day
P851,Contrexeville Centre,Vezelise Beauregard,day,Contrexeville Centre → Vezelise Beauregard,day
P851,Martigny Les Bains Thiebaut,Mirecourt Hopital,day,Martigny les Bains Thiebaut → Mirecourt Hopital,day
P851,Nancy,Contrexeville Centre,day,Nancy → Contrexeville Centre,day
P851,Damblain Eglise,Poussay Rue De Mirecourt,day,Damblain Eglise → Poussay Rue de Mirecourt,day
P45,Toul,Allamps E S A T,day,Toul → Allamps E S A T,day
P45,Nancy,Neufchateau Lycee Professionnel,day,Nancy → Neufchateau Lycee Professionnel,day
P45,Neufchateau Lycee Professionnel,Toul,day,Neufchateau Lycee Professionnel → Toul,day
L13,Libourne,Angouleme,day,Libourne → Angouleme,day
K839,Metz,Longwy,day,Metz → Longwy,day
F11,Chatellerault,Poitiers,day,Chatellerault → Poitiers,day
L12,Angouleme,Poitiers,day,Angouleme → Poitiers,day
D17,Saintes,Niort,day,Saintes → Niort,day
C43,Thaon,Epinal,day,Thaon → Epinal,day
P51,Perl Gare Routiere,Thionville,day,Perl → Thionville,day
L16,Saintes,Angouleme,day,Saintes → Angouleme,day
L16,Angouleme,Royan,day,Angouleme → Royan,day
F15,La Rochelle Porte Dauphine,Rochefort,day,la Rochelle Porte Dauphine → Rochefort,day
F15,Rochefort,La Rochelle,day,Rochefort → la Rochelle,day
C24+,Bruyeres,Saint Die Des Vosges,day,Bruyeres → Saint Die des Vosges,day
C24+,Laveline Devant Bruyeres Maison Pour Tous,Epinal,day,Laveline Devant Bruyeres Maison Pour Tous → Epinal,day
C24+,Epinal,Bruyeres,day,Epinal → Bruyeres,day
C24+,Saint Die Des Vosges,Docelles Monument,day,Saint Die des Vosges → Docelles Monument,day
L15,La Rochelle Porte Dauphine,Saint Savinien,day,la Rochelle Porte Dauphine → Saint Savinien,day
L15,Saintes,La Rochelle,day,Saintes → la Rochelle,day
C24+,Epinal,Biffontaine Mairie,day,Epinal → Biffontaine Mairie,day
D15,Saint Mariens Saint Yzan,La Rochelle,day,Saint Mariens Saint Yzan → la Rochelle,day
L15,Saint Mariens Saint Yzan,Saintes,day,Saint Mariens Saint Yzan → Saintes,day
C24+,Saint Die Des Vosges,Docelles Chenimenil Gare,day,Saint Die des Vosges → Docelles Chenimenil,day
C24+,Epinal,La Houssiere Vanemont Centre,day,Epinal → la Houssiere Vanemont Centre,day
P53,Sarreguemines,Farebersviller Cite,day,Sarreguemines → Farebersviller Cite,day
P53,Bening Les Saint Avold,Hundling Hotel De Ville,day,Bening les Saint Avold → Hundling Hotel de Ville,day
P53,Sarreguemines,Theding Allee De La Foret,day,Sarreguemines → Theding Allee de la Foret,day
P53,Sarreguemines College Himmelsberg,Hundling Stade,day,Sarreguemines College Himmelsberg → Hundling Stade,day
P53,Loupershouse Centre,Sarreguemines College Fulrad,day,Loupershouse Centre → Sarreguemines College Fulrad,day
P53,Diebling Maison Forestiere,Sarreguemines College Jean Jaures,day,Diebling Maison Forestiere → Sarreguemines College Jean Jaures,day
P53,Sarreguemines Barth,Farschviller,day,Sarreguemines Barth → Farschviller,day
P53,Sarreguemines Lycee Technique,Loupershouse Centre,day,Sarreguemines Lycee Technique → Loupershouse Centre,day
P53,Hundling Stade,Sarreguemines Lycee Pange,day,Hundling Stade → Sarreguemines Lycee Pange,day
P838,Bitche Ancienne Gare,Gros Rederching,day,Bitche Ancienne → Gros Rederching,day
P838,Sarreguemines,Reyersviller Schwangerbach,day,Sarreguemines → Reyersviller Schwangerbach,day
P838,Bitche Quartier Driant,Rohrbach Les Bitche,day,Bitche Quartier Driant → Rohrbach les Bitche,day
L24,Le Dorat,Limoges Benedictins,day,le Dorat → Limoges Benedictins,day
L24,Le Dorat,Poitiers,day,le Dorat → Poitiers,day
L24,Mignaloux Nouaille,Poitiers,day,Mignaloux Nouaille → Poitiers,day
L24,Poitiers,Nieul,day,Poitiers → Nieul,day
L24,Limoges Benedictins,Mignaloux Nouaille,day,Limoges Benedictins → Mignaloux Nouaille,day
L18,Limoges Benedictins,Saillat Chassenon,day,Limoges Benedictins → Saillat Chassenon,day
121A,Lyon Perrache,Saumur,day,Lyon Perrache → Saumur,day
P833,Sarre Union,Remelfing Centre,day,Sarre Union → Remelfing Centre,day
L31,Limoges Benedictins,Perigueux,day,Limoges Benedictins → Perigueux,day
P833,Sarreguemines,Keskastel Gare,day,Sarreguemines → Keskastel,day
P833,Sarralbe Centre,Sarreguemines,day,Sarralbe Centre → Sarreguemines,day
P833,Sarrebourg,Berthelming Mairie,day,Sarrebourg → Berthelming Mairie,day
P833,Herbitzheim Rue De Hambach,Sarre Union,day,Herbitzheim Rue de Hambach → Sarre Union,day
P833,Herbitzheim Mairie,Sarre Union,day,Herbitzheim Mairie → Sarre Union,day
P833,Sarre Union,Sarreguemines,day,Sarre Union → Sarreguemines,day
L23,Limoges Benedictins,Saint Yrieix,day,Limoges Benedictins → Saint Yrieix,day
P833,Sarre Union,Sarreinsming Pont,day,Sarre Union → Sarreinsming Pont,day
L23,Brive La Gaillarde,Objat,day,Brive la Gaillarde → Objat,day
L27,Brive La Gaillarde,Ussel,day,Brive la Gaillarde → Ussel,day
L27,Brive La Gaillarde,Tulle,day,Brive la Gaillarde → Tulle,day
L27,Tulle,Ussel,day,Tulle → Ussel,day
L27,Ussel,Meymac,day,Ussel → Meymac,day
P833,Sarrebourg Place Mathey,Fenetrange Le Val Fleuri,day,Sarrebourg Place Mathey → Fenetrange le Val Fleuri,day
P833,Sarre Union,Keskastel Gare,day,Sarre Union → Keskastel,day
P833,Sarrebourg,Romelfling Rue De L Europe,day,Sarrebourg → Romelfling Rue de L Europe,day
L26,Eymoutiers Vassiviere,Ussel,day,Eymoutiers Vassiviere → Ussel,day
L26,Limoges Benedictins,Perols Sur Vezere,day,Limoges Benedictins → Perols Sur Vezere,day
P833,Sarreguemines,Wolfskirchen Rue Du Moulin,day,Sarreguemines → Wolfskirchen Rue du Moulin,day
L26,Ussel,Saint Leonard De Noblat,day,Ussel → Saint Leonard de Noblat,day
P834,Morhange,Chenois Rue Principale,day,Morhange → Chenois Rue Principale,day
L25,Limoges Benedictins,Gueret,day,Limoges Benedictins → Gueret,day
L25,Limoges Benedictins,Montlucon,day,Limoges Benedictins → Montlucon,day
L25,Montlucon,Gueret,day,Montlucon → Gueret,day
P834,Remilly,Holacourt Rue Principale,day,Remilly → Holacourt Rue Principale,day
P835,Sarrebourg Lp Messmer,Berthelming Mairie,day,Sarrebourg Lp Messmer → Berthelming Mairie,day
L34,Le Buisson,Perigueux,day,le Buisson → Perigueux,day
L34,Monsempron Libos,Perigueux,day,Monsempron Libos → Perigueux,day
L34,Perigueux,Penne,day,Perigueux → Penne,day
P835,Saint Jean De Bassel Eglise,Sarrebourg,day,Saint Jean de Bassel Eglise → Sarrebourg,day
L34,Agen,Les Eyzies,day,Agen → les Eyzies,day
P835,Sarrebourg Lp Messmer,Fenetrange Gendarmerie,day,Sarrebourg Lp Messmer → Fenetrange Gendarmerie,day
L34,Agen,Monsempron Libos,day,Agen → Monsempron Libos,day
P835,Morhange,Bassing Croisement,day,Morhange → Bassing Croisement,day
P835,Sarrebourg,Fenetrange Carrefour Des Etangs,day,Sarrebourg → Fenetrange Carrefour des Etangs,day
P835,Fenetrange Gendarmerie,Sarrebourg Route De Phalsbourg,day,Fenetrange Gendarmerie → Sarrebourg Route de Phalsbourg,day
P835,Loudrefing Rue Principale,Oberstinzel Rue Principale,day,Loudrefing Rue Principale → Oberstinzel Rue Principale,day
P835,Sarrebourg Lp Messmer,Saint Jean De Bassel Eglise,day,Sarrebourg Lp Messmer → Saint Jean de Bassel Eglise,day
P835,Sarrebourg Place Mathey,Saint Jean De Bassel Eglise,day,Sarrebourg Place Mathey → Saint Jean de Bassel Eglise,day
P835,Berthelming Mairie,Sarrebourg Route De Phalsbourg,day,Berthelming Mairie → Sarrebourg Route de Phalsbourg,day
P835,Sarrebourg Hopital,Berthelming Mairie,day,Sarrebourg Hopital → Berthelming Mairie,day
P835,Loudrefing Rue Principale,Bettborn Grand Rue,day,Loudrefing Rue Principale → Bettborn Grand Rue,day
P835,Sarrebourg Lp Messmer,Romelfling Rue De L Europe,day,Sarrebourg Lp Messmer → Romelfling Rue de L Europe,day
P836,Sarrebourg,Avricourt Nouvel Avricourt,day,Sarrebourg → Avricourt Nouvel Avricourt,day
L21,La Souterraine,Limoges Benedictins,day,la Souterraine → Limoges Benedictins,day
P836,Igney Mairie,Hertzing Centre,day,Igney Mairie → Hertzing Centre,day
P836,Sarrebourg Lp Messmer,Rechicourt Le Chateau,day,Sarrebourg Lp Messmer → Rechicourt le Chateau,day
L22,Brive La Gaillarde,Limoges Benedictins,day,Brive la Gaillarde → Limoges Benedictins,day
P853,Longwy,Cons La Grandville Haut Fourneau,day,Longwy → Cons la Grandville Haut Fourneau,day
P853,Longuyon,Lexy Carrefour,day,Longuyon → Lexy Carrefour,day
P853,Longwy,Ugny Mairie,day,Longwy → Ugny Mairie,day
P853,Longuyon,Cons La Grandville Lotissement,day,Longuyon → Cons la Grandville Lotissement,day
L32,Perigueux,Brive La Gaillarde,day,Perigueux → Brive la Gaillarde,day
F32,Perigueux,Niversac,day,Perigueux → Niversac,day
P560,Conflans Jarny,Metz,day,Conflans Jarny → Metz,day
P57,Hagondange,Conflans Jarny,day,Hagondange → Conflans Jarny,day
L42,Pauillac,Lesparre,day,Pauillac → Lesparre,day
L42,Bordeaux Saint Jean,Margaux,day,Bordeaux Saint Jean → Margaux,day
L42,Le Verdon,Blanquefort,day,le Verdon → Blanquefort,day
L42,Lesparre,Le Bouscat Sainte Germaine,day,Lesparre → le Bouscat Sainte Germaine,day
F41+,Biganos Facture,Arcachon,day,Biganos Facture → Arcachon,day
F41+,Bordeaux Saint Jean,La Hume,day,Bordeaux Saint Jean → la Hume,day
L45,Mont De Marsan,Biganos Facture,day,Mont de Marsan → Biganos Facture,day
L45,Morcenx,Mont De Marsan,day,Morcenx → Mont de Marsan,day
D33,Bergerac,Sarlat,day,Bergerac → Sarlat,day
D33,Libourne,Bergerac,day,Libourne → Bergerac,day
F44,Bordeaux Saint Jean,Barsac,day,Bordeaux Saint Jean → Barsac,day
F44,Langon,Villenave D Ornon,day,Langon → Villenave D Ornon,day
D44,Bordeaux Saint Jean,Langon,day,Bordeaux Saint Jean → Langon,day
D44,Bordeaux Saint Jean,Agen,day,Bordeaux Saint Jean → Agen,day
F44,Marmande,Podensac,day,Marmande → Podensac,day
P21,Albert,Amiens,day,Albert → Amiens,day
L53,Bayonne,Coarraze Nay,day,Bayonne → Coarraze Nay,day
L53,Bayonne,Pau,day,Bayonne → Pau,day
L53,Puyoo,Bayonne,day,Puyoo → Bayonne,day
L53,Hendaye,Bayonne,day,Hendaye → Bayonne,day
L52,Pau,Dax,day,Pau → Dax,day
L52,Lourdes,Dax,day,Lourdes → Dax,day
L52,Tarbes,Dax,day,Tarbes → Dax,day
P64,Hirson,Laon,day,Hirson → Laon,day
L54,Bayonne,Saint Jean Pied De Port,day,Bayonne → Saint Jean Pied de Port,day
P64,Marle Sur Serre,Hirson,day,Marle Sur Serre → Hirson,day
P64,Marle Sur Serre,Hirson Ecoles,day,Marle Sur Serre → Hirson Ecoles,day
P64,Hirson,Verneuil Sur Serre,day,Hirson → Verneuil Sur Serre,day
P64,Laon,Hirson Ecoles,day,Laon → Hirson Ecoles,day
P64,Laon,La Bouteille,day,Laon → la Bouteille,day
L55,Pau,Bedous,day,Pau → Bedous,day
L55,Oloron Sainte Marie,Pau,day,Oloron Sainte Marie → Pau,day
P64,Hirson Ecoles,Dercy Froidmont,day,Hirson Ecoles → Dercy Froidmont,day
F51,Dax,Guethary,day,Dax → Guethary,day
D51,Bayonne,Biganos Facture,day,Bayonne → Biganos Facture,day
D51,Biganos Facture,Hendaye,day,Biganos Facture → Hendaye,day
P64,Laon,Marle Sur Serre,day,Laon → Marle Sur Serre,day
P30,Beauvais,Abancourt,day,Beauvais → Abancourt,day
P32,Beauvais,Creil,day,Beauvais → Creil,day
P3,Limoux,Quillan,day,Limoux → Quillan,day
K8,Montpellier Saint Roch,Beziers,day,Montpellier Saint Roch → Beziers,day
C3,Narbonne,Carcassonne,day,Narbonne → Carcassonne,day
K3,Carcassonne,Perpignan,day,Carcassonne → Perpignan,day
P13,Cerbere,Perpignan,day,Cerbere → Perpignan,day
C3,Carcassonne,Toulouse Matabiau,day,Carcassonne → Toulouse Matabiau,day
C3,Castelnaudary,Narbonne,day,Castelnaudary → Narbonne,day
C3,Narbonne,Escalquens,day,Narbonne → Escalquens,day
C3,Toulouse Matabiau,Castelnaudary,day,Toulouse Matabiau → Castelnaudary,day
C3,Narbonne,Montlaur,day,Narbonne → Montlaur,day
P8,Nimes Centre,Le Grau Du Roi,day,Nimes Centre → le Grau du Roi,day
P18,Avignon Centre,Pont Saint Esprit,day,Avignon Centre → Pont Saint Esprit,day
P24,Ille Sur Tet,Villefranche Vernet Les Bains,day,Ille Sur Tet → Villefranche Vernet les Bains,day
C7,Nimes Centre,Ales,day,Nimes Centre → Ales,day
C7,Nimes Centre,Genolhac,day,Nimes Centre → Genolhac,day
C7,Ales,Genolhac,day,Ales → Genolhac,day
P19,Marvejols,Mende,day,Marvejols → Mende,day
P7,Mende,La Bastide St Laurent Les B,day,Mende → la Bastide St Laurent les B,day
P7,Mende,Grand Combe La Pise,day,Mende → Grand Combe la Pise,day
P7,Nimes Centre,La Bastide St Laurent Les B,day,Nimes Centre → la Bastide St Laurent les B,day
P17,La Bastide St Laurent Les B,Langeac,day,la Bastide St Laurent les B → Langeac,day
P17,Nimes Centre,Langeac,day,Nimes Centre → Langeac,day
P17,Ales,Langeac,day,Ales → Langeac,day
P17,La Bastide St Laurent Les B,Clermont Ferrand,day,la Bastide St Laurent les B → Clermont Ferrand,day
P7,Mende,Nimes Centre,day,Mende → Nimes Centre,day
P17,Nimes Centre,Langogne,day,Nimes Centre → Langogne,day
P7,Nimes Centre,Belvezet,day,Nimes Centre → Belvezet,day
P7,Ales,Bagnols Chadenet,day,Ales → Bagnols Chadenet,day
P7,Mende,Saint Chely D Apcher,day,Mende → Saint Chely D Apcher,day
P20,Marvejols,Bagnols Chadenet,day,Marvejols → Bagnols Chadenet,day
P17,Clermont Ferrand,Genolhac,day,Clermont Ferrand → Genolhac,day
C7,Saint Genies De Malgoires,Nimes Centre,day,Saint Genies de Malgoires → Nimes Centre,day
P7,La Bastide St Laurent Les B,Marvejols,day,la Bastide St Laurent les B → Marvejols,day
C7,Grand Combe La Pise,Nimes Centre,day,Grand Combe la Pise → Nimes Centre,day
P17,Langogne,La Bastide St Laurent Les B,day,Langogne → la Bastide St Laurent les B,day
INCONNU,Nimes Centre,Avignon Centre,day,Nimes Centre → Avignon Centre,day
P14,Ribecourt,Compiegne,day,Ribecourt → Compiegne,day
P14,Tergnier,Compiegne,day,Tergnier → Compiegne,day
P14,Compiegne,Saint Quentin,day,Compiegne → Saint Quentin,day
P2,Albi Ville,Carmaux,day,Albi Ville → Carmaux,day
P2,Albi Ville,Rodez,day,Albi Ville → Rodez,day
P2,Carmaux,Toulouse Matabiau,day,Carmaux → Toulouse Matabiau,day
P10,Mazamet,Montrabe,day,Mazamet → Montrabe,day
P10,Saint Sulpice,Castres,day,Saint Sulpice → Castres,day
P10,Mazamet,Saint Sulpice,day,Mazamet → Saint Sulpice,day
P27,Tessonnieres,Figeac,day,Tessonnieres → Figeac,day
P27,Capdenac,Figeac,day,Capdenac → Figeac,day
P27,Figeac,Lisle Sur Tarn,day,Figeac → Lisle Sur Tarn,day
P27,Figeac,Gaillac,day,Figeac → Gaillac,day
P27,Toulouse Matabiau,Villefranche De Rouergue,day,Toulouse Matabiau → Villefranche de Rouergue,day
P27,Figeac,Toulouse Matabiau,day,Figeac → Toulouse Matabiau,day
P27,Najac,Najac,day,Najac → Najac,day
C6,L Isle Jourdain,Auch,day,L Isle Jourdain → Auch,day
C6,Auch,Toulouse Matabiau,day,Auch → Toulouse Matabiau,day
C6,Toulouse Matabiau,L Isle Jourdain,day,Toulouse Matabiau → L Isle Jourdain,day
C6,Colomiers,Auch,day,Colomiers → Auch,day
C6,L Isle Jourdain,Colomiers,day,L Isle Jourdain → Colomiers,day
P12,Capdenac,Brive La Gaillarde,day,Capdenac → Brive la Gaillarde,day
K1,Montauban Ville Bourbon,Cahors,day,Montauban Ville Bourbon → Cahors,day
K1,Montauban Ville Bourbon,Brive La Gaillarde,day,Montauban Ville Bourbon → Brive la Gaillarde,day
K11,Montauban Ville Bourbon,Agen,day,Montauban Ville Bourbon → Agen,day
P29,Millau,Grezes Severac L Eglise,day,Millau → Grezes Severac L Eglise,day
P29,Millau,Laissac Place Du Foiral,day,Millau → Laissac Place du Foiral,day
P29,Rodez,Gaillac D Aveyron Bourg,day,Rodez → Gaillac D Aveyron Bourg,day
P29,Laissac Place Du Foiral,Aguessac Bellevue,day,Laissac Place du Foiral → Aguessac Bellevue,day
INCONNU,Gimont Cahuzac,Auch,day,Gimont Cahuzac → Auch,day
P73,Calais Frethun,Calais Ville,day,Calais Frethun → Calais Ville,day
180A,Toulouse Matabiau,Marseille Saint Charles,day,Toulouse Matabiau → Marseille Saint Charles,day
180A,Beziers,Marseille Saint Charles,day,Beziers → Marseille Saint Charles,day
180A,Beziers,Nimes Centre,day,Beziers → Nimes Centre,day
180A,Bordeaux Saint Jean,Beziers,day,Bordeaux Saint Jean → Beziers,day
180A,Bordeaux Saint Jean,Marseille Saint Charles,day,Bordeaux Saint Jean → Marseille Saint Charles,day
180A,Bordeaux Saint Jean,Toulouse Matabiau,day,Bordeaux Saint Jean → Toulouse Matabiau,day
K44,Douai,Arras,day,Douai → Arras,day
P51,Bethune,Saint Pol Sur Ternoise,day,Bethune → Saint Pol Sur Ternoise,day
P43,Somain,Valenciennes,day,Somain → Valenciennes,day
180A,Bordeaux Saint Jean,Arles,day,Bordeaux Saint Jean → Arles,day
P53,Arras,Saint Pol Sur Ternoise,day,Arras → Saint Pol Sur Ternoise,day
180A,Toulouse Matabiau,Nimes Centre,day,Toulouse Matabiau → Nimes Centre,day
180A,Bordeaux Saint Jean,Nimes Centre,day,Bordeaux Saint Jean → Nimes Centre,day
P4,Valence Ville,Gap,day,Valence Ville → Gap,day
C7,Avignon Centre,Senas,day,Avignon Centre → Senas,day
C7,Miramas,Saint Saturnin Les Avignon,day,Miramas → Saint Saturnin les Avignon,day
K7,Avignon Centre,Marseille Saint Charles,day,Avignon Centre → Marseille Saint Charles,day
C7,Cavaillon,Marseille Saint Charles,day,Cavaillon → Marseille Saint Charles,day
K7,Miramas,Arles,day,Miramas → Arles,day
C4,Miramas,Martigues,day,Miramas → Martigues,day
180A,Marseille Saint Charles,Agen,day,Marseille Saint Charles → Agen,day
C424,Surdon,Alencon,day,Surdon → Alencon,day
K4,Villedieu Les Poeles,Le Mont Saint Michel,day,Villedieu les Poeles → le Mont Saint Michel,day
K12,Granville,Rennes,day,Granville → Rennes,day
K12,Caen,Rennes,day,Caen → Rennes,day
K39,Caen,Alencon,day,Caen → Alencon,day
P14,Breaute Beuzeville,Fecamp,day,Breaute Beuzeville → Fecamp,day
L14,Niort,Mauze,day,Niort → Mauze,day
L15,Bussac,Saint Mariens Saint Yzan,day,Bussac → Saint Mariens Saint Yzan,day
P65,Saumur,Bressuire,day,Saumur → Bressuire,day
P65,Thouars,Bressuire,day,Thouars → Bressuire,day
P65,Saumur,La Roche Sur Yon,day,Saumur → la Roche Sur Yon,day
361A,Bruxelles Midi,Paris Gare Du Nord,day,Bruxelles Midi → Paris du Nord,day
001B,Lille Flandres,Marseille Saint Charles,day,Lille Flandres → Marseille Saint Charles,day
001G,Lille Flandres,Aime La Plagne,day,Lille Flandres → Aime la Plagne,day
001B,Montpellier Saint Roch,Lille Flandres,day,Montpellier Saint Roch → Lille Flandres,day
001G,Bourg Saint Maurice,Arras,day,Bourg Saint Maurice → Arras,day
001A,Lyon Perrache,Lille Europe,day,Lyon Perrache → Lille Europe,day
001B,Lyon Perrache,Lille Flandres,day,Lyon Perrache → Lille Flandres,day
003A,Lille Flandres,Angouleme,day,Lille Flandres → Angouleme,day
003A,Lille Flandres,Bordeaux Saint Jean,day,Lille Flandres → Bordeaux Saint Jean,day
003C,Lille Europe,Rennes,day,Lille Europe → Rennes,day
003B,Lille Flandres,Nantes,day,Lille Flandres → Nantes,day
003B,Lille Europe,Nantes,day,Lille Europe → Nantes,day
003B,Nantes,Aeroport Charles De Gaulle 2 Tgv,day,Nantes → Aeroport Charles de Gaulle 2 Tgv,day
003A,Bordeaux Saint Jean,Lille Europe,day,Bordeaux Saint Jean → Lille Europe,day
081B,Nantes,Montpellier Sud De France,day,Nantes → Montpellier Sud de France,day
081B,Lyon Part Dieu,Montpellier Sud De France,day,Lyon Part Dieu → Montpellier Sud de France,day
081B,Nantes,Marseille Saint Charles,day,Nantes → Marseille Saint Charles,day
081B,Nantes,Lyon Perrache,day,Nantes → Lyon Perrache,day
081G,Nantes,Bourg Saint Maurice,day,Nantes → Bourg Saint Maurice,day
081G,Rennes,Bourg Saint Maurice,day,Rennes → Bourg Saint Maurice,day
081C,Le Havre,Marseille Saint Charles,day,le Havre → Marseille Saint Charles,day
081C,Rouen Rive Droite,Marseille Saint Charles,day,Rouen Rive Droite → Marseille Saint Charles,day
081B,Nantes,Lyon Part Dieu,day,Nantes → Lyon Part Dieu,day
081A,Rennes,Marseille Saint Charles,day,Rennes → Marseille Saint Charles,day
081A,Rennes,Montpellier Saint Roch,day,Rennes → Montpellier Saint Roch,day
081A,Rennes,Lyon Part Dieu,day,Rennes → Lyon Part Dieu,day
081A,Rennes,Lyon Perrache,day,Rennes → Lyon Perrache,day
061C,Bordeaux Saint Jean,Strasbourg,day,Bordeaux Saint Jean → Strasbourg,day
061C,Strasbourg,Angouleme,day,Strasbourg → Angouleme,day
061B,Rennes,Strasbourg,day,Rennes → Strasbourg,day
061B,Quimper,Champagne Ardenne Tgv,day,Quimper → Champagne Ardenne Tgv,day
061B,Strasbourg,Vannes,day,Strasbourg → Vannes,day
061A,Nantes,Strasbourg,day,Nantes → Strasbourg,day
071A,Lyon Perrache,Strasbourg,day,Lyon Perrache → Strasbourg,day
071A,Nancy,Avignon Tgv,day,Nancy → Avignon Tgv,day
071A,Nancy,Aix En Provence Tgv,day,Nancy → Aix En Provence Tgv,day
INCONNU,Lorient,Pontivy,day,Lorient → Pontivy,day
INCONNU,Paris Austerlitz,Argeles Sur Mer,day,Paris Austerlitz → Argeles Sur Mer,day
INCONNU,Cerbere,Agde,day,Cerbere → Agde,day
INCONNU,Paris Bercy Bourg Pays D Auv,Argeles Sur Mer,day,Paris Bercy Bourg Pays D Auv → Argeles Sur Mer,day
770B,Nice Ville,Paris Bercy Bourg Pays D Auv,day,Nice Ville → Paris Bercy Bourg Pays D Auv,day
770B,Nice Ville,Paris Austerlitz,day,Nice Ville → Paris Austerlitz,day
770A,Paris Austerlitz,Briancon,day,Paris Austerlitz → Briancon,day
770A,Paris Austerlitz,L Argentiere Les Ecrins,day,Paris Austerlitz → L Argentiere les Ecrins,day
770A,Paris Bercy Bourg Pays D Auv,L Argentiere Les Ecrins,day,Paris Bercy Bourg Pays D Auv → L Argentiere les Ecrins,day
770A,Paris Bercy Bourg Pays D Auv,Briancon,day,Paris Bercy Bourg Pays D Auv → Briancon,day
K2+,Nevers,Nemours Saint Pierre,day,Nevers → Nemours Saint Pierre,day
K2+,Paris Bercy Bourg Pays D Auv,Pougues Les Eaux,day,Paris Bercy Bourg Pays D Auv → Pougues les Eaux,day
K2+,Paris Bercy Bourg Pays D Auv,Fourchambault,day,Paris Bercy Bourg Pays D Auv → Fourchambault,day
K2+,Nevers,Montargis,day,Nevers → Montargis,day
722A,Clermont Ferrand,Paris Bercy Bourg Pays D Auv,day,Clermont Ferrand → Paris Bercy Bourg Pays D Auv,day
722A,Paris Austerlitz,Clermont Ferrand,day,Paris Austerlitz → Clermont Ferrand,day
A03,Annonay Gare Routiere,Le Peage De Roussillon,day,Annonay → le Peage de Roussillon,day
A03,Annonay Gare Routiere,Lyon Part Dieu Gare Routiere,day,Annonay → Lyon Part Dieu,day
A04,Privas Cours Du Palais,Saint Georges Les Bains Ch,day,Privas Cours du Palais → Saint Georges les Bains Ch,day
A04,Privas Cours Du Palais,Aubenas Place De La Paix,day,Privas Cours du Palais → Aubenas Place de la Paix,day
A04,Valence Gare Routiere,Rompon Fonts Du Pouzin,day,Valence → Rompon Fonts du Pouzin,day
A04,Aubenas Place De La Paix,Flaviac Rene Cassin,day,Aubenas Place de la Paix → Flaviac Rene Cassin,day
A04,Valence Tgv Rhone Alpes Sud,Le Pouzin Place Marechal Leclerc,day,Valence Tgv Rhone Alpes Sud → le Pouzin Place Marechal Leclerc,day
001G,Modane,Douai,day,Modane → Douai,day
001G,Lille Flandres,Saint Michel Valloire,day,Lille Flandres → Saint Michel Valloire,day
631B,Toulon,Paris Gare De Lyon Hall 1 2,day,Toulon → Paris de Lyon Hall 1 2,day
631B,Hyeres,Paris Gare De Lyon Hall 1 2,day,Hyeres → Paris de Lyon Hall 1 2,day
631B,Marseille Saint Charles,Paris Montparnasse Hall 1 2,day,Marseille Saint Charles → Paris Montparnasse Hall 1 2,day
631B,Paris Gare De Lyon Hall 1 2,Aix En Provence Tgv,day,Paris de Lyon Hall 1 2 → Aix En Provence Tgv,day
631A,Paris Gare De Lyon Hall 1 2,Nice Ville,day,Paris de Lyon Hall 1 2 → Nice Ville,day
631A,Nice Ville,Aeroport Charles De Gaulle 2 Tgv,day,Nice Ville → Aeroport Charles de Gaulle 2 Tgv,day
631D,Paris Gare De Lyon Hall 1 2,Miramas,day,Paris de Lyon Hall 1 2 → Miramas,day
631D,Paris Gare De Lyon Hall 1 2,Avignon Centre,day,Paris de Lyon Hall 1 2 → Avignon Centre,day
631D,Aeroport Charles De Gaulle 2 Tgv,Miramas,day,Aeroport Charles de Gaulle 2 Tgv → Miramas,day
631D,Miramas,Marne La Vallee Chessy,day,Miramas → Marne la Vallee Chessy,day
631C,Marne La Vallee Chessy,Perpignan,day,Marne la Vallee Chessy → Perpignan,day
621A,Paris Gare De Lyon Hall 1 2,Grenoble,day,Paris de Lyon Hall 1 2 → Grenoble,day
621F,Paris Gare De Lyon Hall 1 2,Bourg Saint Maurice,day,Paris de Lyon Hall 1 2 → Bourg Saint Maurice,day
621I,Paris Gare De Lyon Hall 1 2,Saint Gervais Les Bains Le Fayet,day,Paris de Lyon Hall 1 2 → Saint Gervais les Bains le Fayet,day
621H,Paris Gare De Lyon Hall 1 2,Evian Les Bains,day,Paris de Lyon Hall 1 2 → Evian les Bains,day
601A,Lyon Perrache,Paris Gare De Lyon Hall 1 2,day,Lyon Perrache → Paris de Lyon Hall 1 2,day
601A,Lyon Part Dieu,Paris Gare De Lyon Hall 1 2,day,Lyon Part Dieu → Paris de Lyon Hall 1 2,day
601A,Aeroport Charles De Gaulle 2 Tgv,Lyon Perrache,day,Aeroport Charles de Gaulle 2 Tgv → Lyon Perrache,day
601B,Paris Gare De Lyon Hall 1 2,Saint Etienne Chateaucreux,day,Paris de Lyon Hall 1 2 → Saint Etienne Chateaucreux,day
601B,Marne La Vallee Chessy,Lyon Perrache,day,Marne la Vallee Chessy → Lyon Perrache,day
611B,Mulhouse,Paris Gare De Lyon Hall 1 2,day,Mulhouse → Paris de Lyon Hall 1 2,day
611B,Mulhouse,Marne La Vallee Chessy,day,Mulhouse → Marne la Vallee Chessy,day
611B,Paris Gare De Lyon Hall 1 2,Besancon Viotte,day,Paris de Lyon Hall 1 2 → Besancon Viotte,day
