route_name,origin,destination,service_type,route_name_simple,origin_country,destination_country,distance_km,type
R,Les Diablerets,Aigle,night,les Diablerets → Aigle,CH,CH,15.18,night
R,Aigle,Leysin Feydey,night,Aigle → Leysin Feydey,CH,CH,4.6,night
R,Aigle,Leysin Grand Hotel,night,Aigle → Leysin Grand Hotel,CH,CH,4.58,night
R,Aigle,Monthey Ville,night,Aigle → Monthey Ville,CH,CH,7.1,night
R,Troistorrents,Aigle,night,Troistorrents → Aigle,CH,CH,10.51,night
IR26,Airolo,Arth Goldau,night,Airolo → Arth Goldau,CH,CH,58.17,night
S10,Chiasso,Airolo,night,Chiasso → Airolo,CH,CH,83.89,night
S10,Airolo,Como Camerlata,night,Airolo → Como Camerlata,CH,CH,90.23,night
IR46,Erstfeld,Airolo,night,Erstfeld → Airolo,CH,CH,32.72,night
S20,Locarno,Airolo,night,Locarno → Airolo,CH,CH,42.17,night
S10,Maroggia Melano,Airolo,night,Maroggia Melano → Airolo,CH,CH,71.89,night
S10,Melide,Airolo,night,Melide → Airolo,CH,CH,68.74,night
S10,Mendrisio,Airolo,night,Mendrisio → Airolo,CH,CH,78.56,night
TER,Annecy,Aix Les Bains Le Revard,night,Annecy → Aix les Bains le Revard,CH,CH,28.94,night
TER,Aix Les Bains Le Revard,Bourg Saint Maurice,night,Aix les Bains le Revard → Bourg Saint Maurice,CH,CH,67.49,night
TER,Aix Les Bains Le Revard,Lyon Part Dieu,night,Aix les Bains le Revard → Lyon Part Dieu,CH,CH,81.83,night
TGV,Paris Gare De Lyon,Aix Les Bains Le Revard,night,Paris de Lyon → Aix les Bains le Revard,CH,CH,440.74,night
TER,Aix Les Bains Le Revard,Valence,night,Aix les Bains le Revard → Valence,CH,CH,116.01,night
RB,Basel Bad Bf,Albbruck,night,Basel → Albbruck,CH,CH,39.47,night
RB,Waldshut,Albbruck,night,Waldshut → Albbruck,CH,CH,7.33,night
RB,Albstadt Ebingen,Mengen,night,Albstadt Ebingen → Mengen,CH,CH,28.84,night
RB,Sigmaringen,Albstadt Ebingen,night,Sigmaringen → Albstadt Ebingen,CH,CH,19.93,night
RE,Allaman,Geneve,night,Allaman → Geneve,CH,CH,35.52,night
R,Lausanne,Allaman,night,Lausanne → Allaman,CH,CH,18.14,night
R,Allaman,Morges,night,Allaman → Morges,CH,CH,8.22,night
R,Murten Morat,Allaman,night,Murten Morat → Allaman,CH,CH,74.01,night
R,Payerne,Allaman,night,Payerne → Allaman,CH,CH,56.24,night
R,Renens Vd,Allaman,night,Renens Vd → Allaman,CH,CH,15.32,night
S50,Montbovon,Allieres,night,Montbovon → Allieres,CH,CH,3.14,night
CC,Lauterbrunnen,Allmend,night,Lauterbrunnen → Allmend,CH,CH,1.89,night
CC,Allmend,Wengen,night,Allmend → Wengen,CH,CH,1.47,night
RE,Ulm Hbf,Allmendingen D,night,Ulm → Allmendingen D,CH,CH,20.81,night
CC,Alpiglen,Brandegg,night,Alpiglen → Brandegg,CH,CH,1.23,night
CC,Alpiglen,Grindelwald,night,Alpiglen → Grindelwald,CH,CH,3.61,night
CC,Alpiglen,Grindelwald Grund,night,Alpiglen → Grindelwald Grund,CH,CH,2.99,night
CC,Alpnachstad Pb,Pilatus Kulm,night,Alpnachstad Pb → Pilatus Kulm,CH,CH,3.11,night
S2,Arth Goldau,Altdorf Ur,night,Arth Goldau → Altdorf Ur,CH,CH,20.25,night
