route_name,origin,destination,service_type,route_name_simple,origin_country,destination_country,distance_km
S23,brugg ag,lenzburg,day,Brugg Ag → Lenzburg,CH,CH,10.38
S25,brugg ag,muri ag,day,Brugg Ag → Muri Ag,CH,CH,24.75
S12,brugg ag,schaffhausen,day,Brugg Ag → Schaffhausen,CH,CH,39.94
S29,brugg ag,sursee,day,Brugg Ag → Sursee,CH,CH,35.48
S12,brugg ag,wil sg,day,Brugg Ag → Wil Sg,CH,CH,62.58
S25,brugg ag,wohlen ag,day,Brugg Ag → Wohlen Ag,CH,CH,15.42
S3,brunnen,arth goldau,day,Brunnen → Arth Goldau,CH,CH,7.2
S3,brunnen,kussnacht am rigi,day,Brunnen → Kussnacht Am Rigi,CH,CH,16.34
S3,brunnen,luzern,day,Brunnen → Luzern,CH,CH,23.43
S3,brunnen,luzern verkehrshaus,day,Brunnen → Luzern Verkehrshaus,CH,CH,21.55
S2,brunnen,zug,day,Brunnen → Zug,CH,CH,20.7
001A,bruxelles midi,aeroport charles de gaulle 2 tgv,day,Bruxelles Midi → Aeroport Charles de Gaulle 2 Tgv,FR,FR,239.75
BEBMI -> NLAMA,bruxelles midi,amsterdam centraal,day,Bruxelles Midi → Amsterdam Centraal,BE,NL,176.03
BEBMI -> FRQBM,bruxelles midi,bourg st maurice,day,Bruxelles Midi → Bourg St Maurice,BE,FR,607.43
BEBMI -> FRMLV,bruxelles midi,marne la vallee chessy,day,Bruxelles Midi → Marne la Vallee Chessy,BE,FR,245.21
001B,bruxelles midi,marseille saint charles,day,Bruxelles Midi → Marseille Saint Charles,FR,FR,841.37
001B,bruxelles midi,montpellier saint roch,day,Bruxelles Midi → Montpellier Saint Roch,FR,FR,804.81
001B,bruxelles midi,montpellier sud de france,day,Bruxelles Midi → Montpellier Sud de France,FR,FR,805.74
003B,bruxelles midi,nantes,day,Bruxelles Midi → Nantes,FR,FR,587.52
361A,bruxelles midi,paris gare du nord,day,Bruxelles Midi → Paris du Nord,FR,FR,259.72
BEBMI -> FRPNO,bruxelles midi,paris nord,day,Bruxelles Midi → Paris Nord,BE,FR,259.56
001B,bruxelles midi,perpignan,day,Bruxelles Midi → Perpignan,FR,FR,911.84
003C,bruxelles midi,rennes,day,Bruxelles Midi → Rennes,FR,FR,529.68
005D,bruxelles midi,strasbourg,day,Bruxelles Midi → Strasbourg,FR,FR,349.7
C24+,bruyeres,saint die des vosges,day,Bruyeres → Saint Die des Vosges,FR,FR,19.04
IR13,buchs sg,chur,day,Buchs Sg → Chur,CH,CH,35.27
RE,buchs sg,sargans,day,Buchs Sg → Sargans,CH,CH,13.96
C2,bueil,mantes la jolie,day,Bueil → Mantes la Jolie,FR,FR,20.29
SN,bulach,jestetten,day,Bulach → Jestetten,CH,CH,14.77
S36,bulach,koblenz,day,Bulach → Koblenz,CH,CH,24.7
S65,bulach,schaffhausen,day,Bulach → Schaffhausen,CH,CH,20.69
S9,bulach,uster,day,Bulach → Uster,CH,CH,23.68
S36,bulach,waldshut,day,Bulach → Waldshut,CH,CH,26.11
RE,bulle,bern,day,Bulle → Bern,CH,CH,46.99
RE,bulle,broc chocolaterie,day,Bulle → Broc Chocolaterie,CH,CH,4.57
S51,bulle,gruyeres,day,Bulle → Gruyeres,CH,CH,4.36
S50,bulle,montbovon,day,Bulle → Montbovon,CH,CH,14.9
S50,bulle,palezieux,day,Bulle → Palezieux,CH,CH,18.51
RE,bulle,romont fr,day,Bulle → Romont Fr,CH,CH,13.58
RE,bulle,schmitten fr,day,Bulle → Schmitten Fr,CH,CH,31.13
S36,buren an der aare,lyss,day,Buren An Der Aare → Lyss,CH,CH,8.45
S41,burgdorf,aefligen,day,Burgdorf → Aefligen,CH,CH,6.12
S44,burgdorf,bern,day,Burgdorf → Bern,CH,CH,18.61
S4,burgdorf,langnau i e,day,Burgdorf → Langnau I E,CH,CH,18.28
S44,burgdorf,ramsei,day,Burgdorf → Ramsei,CH,CH,9.75
S41,burgdorf,solothurn,day,Burgdorf → Solothurn,CH,CH,17.04
S44,burgdorf,sumiswald grunen,day,Burgdorf → Sumiswald Grunen,CH,CH,9.59
S44,burgdorf,wiler,day,Burgdorf → Wiler,CH,CH,11.34
P62,busigny,aulnoye aymeries,day,Busigny → Aulnoye Aymeries,FR,FR,33.3
L15,bussac,saint mariens saint yzan,day,Bussac → Saint Mariens Saint Yzan,FR,FR,8.32
P815,buswiller eglise,mommenheim,day,Buswiller Eglise → Mommenheim,FR,FR,9.32
R,buttes,travers,day,Buttes → Travers,CH,CH,11.13
S20,cadenazzo,bellinzona,day,Cadenazzo → Bellinzona,CH,CH,8.27
S20,cadenazzo,biasca,day,Cadenazzo → Biasca,CH,CH,22.31
S20,cadenazzo,castione arbedo,day,Cadenazzo → Castione Arbedo,CH,CH,10.96
RE,cadenazzo,chiasso,day,Cadenazzo → Chiasso,CH,CH,36.3
IC,cadenazzo,lausanne,day,Cadenazzo → Lausanne,CH,CH,182.1
IC,cadenazzo,luzern,day,Cadenazzo → Luzern,CH,CH,110.85
RE,cadenazzo,mendrisio,day,Cadenazzo → Mendrisio,CH,CH,31.65
K39,caen,chateau du loir,day,Caen → Chateau du Loir,FR,FR,175.29
P10,caen,elbeuf saint aubin,day,Caen → Elbeuf Saint Aubin,FR,FR,99.55
C13,caen,evreux normandie,day,Caen → Evreux Normandie,FR,FR,110.41
K39,caen,le mans,day,Caen → le Mans,FR,FR,137.17
C13,caen,lisieux,day,Caen → Lisieux,FR,FR,42.3
P10,caen,rouen rive droite,day,Caen → Rouen Rive Droite,FR,FR,108.81
K39,caen,tours,day,Caen → Tours,FR,FR,213.04
560A,cahors,paris austerlitz,day,Cahors → Paris Austerlitz,FR,FR,493.62
560D,cahors,paris bercy bourg pays d auv,day,Cahors → Paris Bercy Bourg Pays D Auv,FR,FR,493.48
P73,calais frethun,calais ville,day,Calais Frethun → Calais Ville,FR,FR,6.44
K92+,calais frethun,lille europe,day,Calais Frethun → Lille Europe,FR,FR,93.57
K21,calais ville,boulogne sur mer,day,Calais Ville → Boulogne Sur Mer,FR,FR,31.41
P73,calais ville,etaples le touquet,day,Calais Ville → Etaples le Touquet,FR,FR,50.75
K16,calais ville,paris gare du nord,day,Calais Ville → Paris du Nord,FR,FR,233.35
P73,calais ville,rang du fliers verton berck,day,Calais Ville → Rang du Fliers Verton Berck,FR,FR,61.46
P11,callac,carhaix,day,Callac → Carhaix,FR,FR,17.73
K40,cambrai,lille flandres,day,Cambrai → Lille Flandres,FR,FR,52.57
K13,cambrai,paris gare du nord,day,Cambrai → Paris du Nord,FR,FR,157.71
K40,cambrai,saint quentin,day,Cambrai → Saint Quentin,FR,FR,37.63
P63,cambrai,valenciennes,day,Cambrai → Valenciennes,FR,FR,28.55
C3,cannes,grasse,day,Cannes → Grasse,FR,FR,13.41
C13,cannes,les arcs draguignan,day,Cannes → les Arcs Draguignan,FR,FR,44.69
C3,cannes,monaco monte carlo,day,Cannes → Monaco Monte Carlo,FR,FR,38.17
C3,cannes la bocca,ventimiglia,day,Cannes la Bocca → Ventimiglia,FR,FR,57.01
P29,capdenac,aurillac,day,Capdenac → Aurillac,FR,FR,47.44
TER,capdenac,aurillac,day,Capdenac → Aurillac,CH,CH,47.42
P12,capdenac,brive la gaillarde,day,Capdenac → Brive la Gaillarde,FR,FR,77.16
P27,capdenac,clermont ferrand,day,Capdenac → Clermont Ferrand,FR,FR,155.72
P27,capdenac,figeac,day,Capdenac → Figeac,FR,FR,4.27
P12,capdenac,rodez,day,Capdenac → Rodez,FR,FR,46.53
CC,capolago riva s vitale,monte generoso vetta,day,Capolago Riva S Vitale → Monte Generoso Vetta,CH,CH,4.18
K3,carcassonne,cerbere,day,Carcassonne → Cerbere,FR,FR,108.77
P3,carcassonne,limoux,day,Carcassonne → Limoux,FR,FR,20.8
K3,carcassonne,perpignan,day,Carcassonne → Perpignan,FR,FR,72.19
C3,carcassonne,toulouse matabiau,day,Carcassonne → Toulouse Matabiau,FR,FR,84.7
P11,carhaix,guingamp,day,Carhaix → Guingamp,FR,FR,43.69
C2,carmaux,saint sulpice,day,Carmaux → Saint Sulpice,FR,FR,48.52
P2,carmaux,toulouse matabiau,day,Carmaux → Toulouse Matabiau,FR,FR,74.23
C9,carnoules,toulon,day,Carnoules → Toulon,FR,FR,28.05
EXT,carolina,st moritz,day,Carolina → St Moritz,CH,CH,25.22
C3,castelnaudary,narbonne,day,Castelnaudary → Narbonne,FR,FR,86.53
S10,castione arbedo,como camerlata,day,Castione Arbedo → Como Camerlata,CH,CH,48.84
S20,castione arbedo,locarno,day,Castione Arbedo → Locarno,CH,CH,19.31
P10,castres,saint sulpice,day,Castres → Saint Sulpice,FR,FR,48.39
R,caux,montreux,day,Caux → Montreux,CH,CH,2.22
C7,cavaillon,marseille saint charles,day,Cavaillon → Marseille Saint Charles,FR,FR,65.08
K8,cerbere,avignon centre,day,Cerbere → Avignon Centre,FR,FR,213.4
K8,cerbere,montpellier saint roch,day,Cerbere → Montpellier Saint Roch,FR,FR,141.85
K3,cerbere,narbonne,day,Cerbere → Narbonne,FR,FR,84.26
K8,cerbere,nimes centre,day,Cerbere → Nimes Centre,FR,FR,182.83
INCONNU,cerbere,paris austerlitz,day,Cerbere → Paris Austerlitz,FR,FR,714.39
P13,cerbere,perpignan,day,Cerbere → Perpignan,FR,FR,36.62
P30,chagny,chalon sur saone,day,Chagny → Chalon Sur Saone,FR,FR,15.7
TER,chagny,chalon sur saone,day,Chagny → Chalon Sur Saone,CH,CH,15.7
TER,chagny,dijon,day,Chagny → Dijon,CH,CH,50.73
P30,chagny,montchanin,day,Chagny → Montchanin,FR,FR,26.22
TER,chagny,montchanin,day,Chagny → Montchanin,CH,CH,26.19
C15,chalon sur saone,dijon,day,Chalon Sur Saone → Dijon,FR,FR,61.83
TER,chalon sur saone,dijon,day,Chalon Sur Saone → Dijon,CH,CH,61.75
C15,chalon sur saone,macon,day,Chalon Sur Saone → Macon,FR,FR,53.29
TER,chalon sur saone,macon,day,Chalon Sur Saone → Macon,CH,CH,53.26
C72+,chalons en champagne,chaumont,day,Chalons En Champagne → Chaumont,FR,FR,110.4
TER,chalons en champagne,chaumont,day,Chalons En Champagne → Chaumont,CH,CH,110.44
K72,chalons en champagne,culmont chalindrey,day,Chalons En Champagne → Culmont Chalindrey,FR,FR,150.81
K2,chalons en champagne,saint dizier,day,Chalons En Champagne → Saint Dizier,FR,FR,56.0
P900,chalons en champagne,verdun,day,Chalons En Champagne → Verdun,FR,FR,78.67
P903,chalons en champagne tissier,troyes quebec,day,Chalons En Champagne Tissier → Troyes Quebec,FR,FR,79.25
TER,chambery challes les eaux,amberieu,day,Chambery Challes les Eaux → Amberieu,CH,CH,61.8
P3,chambery challes les eaux,amberieu en bugey,day,Chambery Challes les Eaux → Amberieu En Bugey,FR,FR,61.77
TER,chambery challes les eaux,bellegarde sur valserine,day,Chambery Challes les Eaux → Bellegarde Sur Valserine,CH,CH,60.42
TER,chambery challes les eaux,bourg saint maurice,day,Chambery Challes les Eaux → Bourg Saint Maurice,CH,CH,66.49
E12,chambery challes les eaux,cluses,day,Chambery Challes les Eaux → Cluses,FR,FR,74.92
K3,chambery challes les eaux,culoz,day,Chambery Challes les Eaux → Culoz,FR,FR,32.16
TER,chambery challes les eaux,culoz,day,Chambery Challes les Eaux → Culoz,CH,CH,32.1
K11,chambery challes les eaux,geneve cornavin,day,Chambery Challes les Eaux → Geneve Cornavin,FR,FR,73.11
C1,chambery challes les eaux,grenoble,day,Chambery Challes les Eaux → Grenoble,FR,FR,45.17
TER,chambery challes les eaux,grenoble,day,Chambery Challes les Eaux → Grenoble,CH,CH,45.23
C1,chambery challes les eaux,grenoble europole,day,Chambery Challes les Eaux → Grenoble Europole,FR,FR,45.23
K3,chambery challes les eaux,la tour du pin,day,Chambery Challes les Eaux → la Tour du Pin,FR,FR,36.61
641A,chambery challes les eaux,milano porta garibaldi,day,Chambery Challes les Eaux → Milano Porta Garibaldi,FR,FR,254.75
P31,chambery challes les eaux,modane,day,Chambery Challes les Eaux → Modane,FR,FR,71.42
TER,chambery challes les eaux,modane,day,Chambery Challes les Eaux → Modane,CH,CH,71.41
P41,chambery challes les eaux,moutiers salins brides les b,day,Chambery Challes les Eaux → Moutiers Salins Brides les B,FR,FR,48.59
P66,chambery challes les eaux,saint andre le gaz,day,Chambery Challes les Eaux → Saint Andre le Gaz,FR,FR,30.92
E12,chambery challes les eaux,saint gervais les bains le fayet,day,Chambery Challes les Eaux → Saint Gervais les Bains le Fayet,FR,FR,71.2
P31,chambery challes les eaux,saint jean de maurienne arvan,day,Chambery Challes les Eaux → Saint Jean de Maurienne Arvan,FR,FR,47.12
TER,chambery challes les eaux,st andre le gaz,day,Chambery Challes les Eaux → St Andre le Gaz,CH,CH,30.94
TER,chambery challes les eaux,valence,day,Chambery Challes les Eaux → Valence,CH,CH,107.61
K21,chambery challes les eaux,valence ville,day,Chambery Challes les Eaux → Valence Ville,FR,FR,107.56
E12,chamonix mont blanc,chambery challes les eaux,day,Chamonix Mont Blanc → Chambery Challes les Eaux,FR,FR,83.71
TER,chamonix mont blanc,saint gervais les bains,day,Chamonix Mont Blanc → Saint Gervais les Bains,CH,CH,13.53
P52,chamonix mont blanc,saint gervais les bains le fayet,day,Chamonix Mont Blanc → Saint Gervais les Bains le Fayet,FR,FR,13.45
P52,chamonix mont blanc,vallorcine,day,Chamonix Mont Blanc → Vallorcine,FR,FR,13.03
TER,chamonix mont blanc,vallorcine f,day,Chamonix Mont Blanc → Vallorcine F,CH,CH,13.17
TER,champagne ardenne tgv,charleville mezieres,day,Champagne Ardenne Tgv → Charleville Mezieres,CH,CH,81.1
C70,champagne ardenne tgv,reims,day,Champagne Ardenne Tgv → Reims,FR,FR,5.42
P8,champagnole,saint claude,day,Champagnole → Saint Claude,FR,FR,40.14
TER,champagnole,saint claude,day,Champagnole → Saint Claude,CH,CH,40.26
P8,champagnole paul emile victor,dole,day,Champagnole Paul Emile Victor → Dole,FR,FR,51.2
R,champery,aigle,day,Champery → Aigle,CH,CH,17.3
K82,charleroi central,maubeuge,day,Charleroi Central → Maubeuge,FR,FR,36.53
C70+,charleville mezieres,champagne ardenne tgv,day,Charleville Mezieres → Champagne Ardenne Tgv,FR,FR,80.98
INCONNU,charleville mezieres,givet,day,Charleville Mezieres → Givet,FR,FR,41.98
K61,charleville mezieres,lille flandres,day,Charleville Mezieres → Lille Flandres,FR,FR,152.32
TER,charleville mezieres,lille flandres,day,Charleville Mezieres → Lille Flandres,CH,CH,152.36
TER,charleville mezieres,longwy,day,Charleville Mezieres → Longwy,CH,CH,80.32
801A,charleville mezieres,paris est,day,Charleville Mezieres → Paris Est,FR,FR,198.02
C70+,charleville mezieres,sedan,day,Charleville Mezieres → Sedan,FR,FR,16.87
TER,charleville mezieres,sedan,day,Charleville Mezieres → Sedan,CH,CH,16.78
C43,charmes,epinal,day,Charmes → Epinal,FR,FR,24.54
P3,chartres,angers saint laud,day,Chartres → Angers Saint Laud,FR,FR,187.06
P12,chartres,brou,day,Chartres → Brou,FR,FR,35.1
P33,chartres,chateaudun,day,Chartres → Chateaudun,FR,FR,43.0
P12,chartres,courtalain saint pellerin,day,Chartres → Courtalain Saint Pellerin,FR,FR,49.22
C3,chartres,paris montparnasse hall 1 2,day,Chartres → Paris Montparnasse Hall 1 2,FR,FR,75.57
P33,chartres,tours,day,Chartres → Tours,FR,FR,131.53
P33,chartres,voves,day,Chartres → Voves,FR,FR,21.89
C3,chartres gare rue nicole,paris montparnasse point rencontre groupes,day,Chartres Rue Nicole → Paris Montparnasse Point Rencontre Groupes,FR,FR,75.5
C24,chasse sur rhone,lyon perrache,day,Chasse Sur Rhone → Lyon Perrache,FR,FR,18.63
R,chateau d oex,gstaad,day,Chateau D Oex → Gstaad,CH,CH,11.72
R,chateau d oex,zweisimmen,day,Chateau D Oex → Zweisimmen,CH,CH,20.59
P9,chateau du loir,alencon,day,Chateau du Loir → Alencon,FR,FR,86.71
P30,chateau du loir,le mans,day,Chateau du Loir → le Mans,FR,FR,38.49
K2,chateau thierry,chalons en champagne,day,Chateau Thierry → Chalons En Champagne,FR,FR,69.15
C73,chateau thierry,reims,day,Chateau Thierry → Reims,FR,FR,51.04
TER,chateau thierry,reims,day,Chateau Thierry → Reims,CH,CH,50.84
K2,chateau thierry,saint dizier,day,Chateau Thierry → Saint Dizier,FR,FR,120.89
P5,chateaubriant,rennes,day,Chateaubriant → Rennes,FR,FR,48.44
P10,chateaudun,paris austerlitz,day,Chateaudun → Paris Austerlitz,FR,FR,114.2
P10,chateaudun,paris bercy bourg pays d auv,day,Chateaudun → Paris Bercy Bourg Pays D Auv,FR,FR,114.83
P104,chateauroux,orleans,day,Chateauroux → Orleans,FR,FR,123.07
P811,chatenois gare,sainte marie aux mines cite scolaire,day,Chatenois → Sainte Marie Aux Mines Cite Scolaire,FR,FR,17.7
P920,chaumont,joinville,day,Chaumont → Joinville,FR,FR,37.21
K940,chaumont,troyes,day,Chaumont → Troyes,FR,FR,81.91
INCONNU,chaumont,vendeuvre,day,Chaumont → Vendeuvre,FR,FR,51.56
R,chene bourg,coppet,day,Chene Bourg → Coppet,CH,CH,13.45
K2,cherbourg,caen,day,Cherbourg → Caen,FR,FR,105.26
K2+,cherbourg,evreux normandie,day,Cherbourg → Evreux Normandie,FR,FR,212.13
R,chernex,montreux,day,Chernex → Montreux,CH,CH,1.12
S10,chiasso,airolo,day,Chiasso → Airolo,CH,CH,83.89
EC,chiasso,basel bad bf,day,Chiasso → Basel,CH,CH,221.41
IC21,chiasso,basel sbb,day,Chiasso → Basel Sbb,CH,CH,220.15
S10,chiasso,bellinzona,day,Chiasso → Bellinzona,CH,CH,40.39
S10,chiasso,biasca,day,Chiasso → Biasca,CH,CH,57.97
S10,chiasso,giubiasco,day,Chiasso → Giubiasco,CH,CH,38.05
RE,chiasso,locarno,day,Chiasso → Locarno,CH,CH,41.8
RE,chiasso,lugano,day,Chiasso → Lugano,CH,CH,20.35
S10,chiasso,mendrisio,day,Chiasso → Mendrisio,CH,CH,5.8
S11,chiasso,milano centrale,day,Chiasso → Milano Centrale,CH,CH,40.66
RE,chiasso,sesto s giovanni,day,Chiasso → Sesto S Giovanni,CH,CH,36.18
S10,chiasso,taverne torricella,day,Chiasso → Taverne Torricella,CH,CH,26.16
K6,cholet,nantes,day,Cholet → Nantes,FR,FR,53.57
C20,cholet,saumur,day,Cholet → Saumur,FR,FR,64.46
ICE,chur,basel bad bf,day,Chur → Basel,CH,CH,165.48
IC3,chur,basel sbb,day,Chur → Basel Sbb,CH,CH,165.61
IC,chur,geneve aeroport,day,Chur → Geneve Aeroport,CH,CH,270.26
RE,chur,heerbrugg,day,Chur → Heerbrugg,CH,CH,62.41
IC,chur,lausanne,day,Chur → Lausanne,CH,CH,224.33
IC,chur,olten,day,Chur → Olten,CH,CH,134.66
S2,chur,rhazuns,day,Chur → Rhazuns,CH,CH,11.51
S1,chur,rothenbrunnen,day,Chur → Rothenbrunnen,CH,CH,12.61
PE,chur,samedan,day,Chur → Samedan,CH,CH,44.16
IR13,chur,st gallen,day,Chur → St Gallen,CH,CH,64.52
RE,chur,st moritz,day,Chur → St Moritz,CH,CH,46.3
RE,chur,thusis,day,Chur → Thusis,CH,CH,18.51
PE,chur,tirano,day,Chur → Tirano,CH,CH,86.04
RE,chur,versam safien,day,Chur → Versam Safien,CH,CH,17.39
IC3,chur,zurich hb,day,Chur → Zurich Hb,CH,CH,94.9
EXT,cinuos chel brail,st moritz,day,Cinuos Chel Brail → St Moritz,CH,CH,20.54
P85,clamecy,auxerre saint gervais,day,Clamecy → Auxerre Saint Gervais,FR,FR,37.11
P31,clamecy,laroche migennes,day,Clamecy → Laroche Migennes,FR,FR,54.97
TER,clamecy,laroche migennes,day,Clamecy → Laroche Migennes,CH,CH,54.89
TER,clamecy,paris bercy,day,Clamecy → Paris Bercy,CH,CH,174.35
P31,clamecy,paris bercy bourg pays d auv,day,Clamecy → Paris Bercy Bourg Pays D Auv,FR,FR,174.4
TER,clamecy,paris gare de lyon,day,Clamecy → Paris de Lyon,CH,CH,175.22
P31,clamecy,paris gare de lyon hall 1 2,day,Clamecy → Paris de Lyon Hall 1 2,FR,FR,175.29
P24,clelles mens,gap,day,Clelles Mens → Gap,FR,FR,47.98
IC,clermont ferrand,beziers,day,Clermont Ferrand → Beziers,CH,CH,271.75
TER,clermont ferrand,capdenac,day,Clermont Ferrand → Capdenac,CH,CH,155.69
P22,clermont ferrand,gannat,day,Clermont Ferrand → Gannat,FR,FR,36.34
P17,clermont ferrand,langogne,day,Clermont Ferrand → Langogne,FR,FR,130.56
K2,clermont ferrand,lyon part dieu,day,Clermont Ferrand → Lyon Part Dieu,FR,FR,136.44
K2,clermont ferrand,lyon perrache,day,Clermont Ferrand → Lyon Perrache,FR,FR,133.87
TER,clermont ferrand,lyon perrache,day,Clermont Ferrand → Lyon Perrache,CH,CH,133.8
C2,clermont ferrand,montchanin,day,Clermont Ferrand → Montchanin,FR,FR,152.14
TER,clermont ferrand,montlucon,day,Clermont Ferrand → Montlucon,CH,CH,73.37
C2,clermont ferrand,nevers,day,Clermont Ferrand → Nevers,FR,FR,134.42
TER,clermont ferrand,nevers,day,Clermont Ferrand → Nevers,CH,CH,134.49
IC,clermont ferrand,paris bercy,day,Clermont Ferrand → Paris Bercy,CH,CH,344.58
722A,clermont ferrand,paris bercy bourg pays d auv,day,Clermont Ferrand → Paris Bercy Bourg Pays D Auv,FR,FR,344.56
C2,clermont ferrand,riom chatel guyon,day,Clermont Ferrand → Riom Chatel Guyon,FR,FR,12.44
TER,clermont ferrand,riom chatel guyon,day,Clermont Ferrand → Riom Chatel Guyon,CH,CH,12.45
TER,clermont ferrand,vertaizon,day,Clermont Ferrand → Vertaizon,CH,CH,14.55
C2,clermont ferrand,vichy,day,Clermont Ferrand → Vichy,FR,FR,46.35
P78,clermont ferrand,volvic,day,Clermont Ferrand → Volvic,FR,FR,12.16
R,col de bretaye,villars sur ollon,day,Col de Bretaye → Villars Sur Ollon,CH,CH,3.15
TER,colmar,basel sbb,day,Colmar → Basel Sbb,CH,CH,61.14
P15,colmar,munster,day,Colmar → Munster,FR,FR,16.39
807B,colmar,paris est,day,Colmar → Paris Est,FR,FR,378.41
TGV,colmar,paris est,day,Colmar → Paris Est,CH,CH,378.31
C10,colmar,raedersheim,day,Colmar → Raedersheim,FR,FR,21.29
K200,colmar,strasbourg,day,Colmar → Strasbourg,FR,FR,63.65
R,colombier ne,neuchatel,day,Colombier Ne → Neuchatel,CH,CH,7.34
C16,colomiers,saint cyprien arenes,day,Colomiers → Saint Cyprien Arenes,FR,FR,6.71
P32,commentry,bourges,day,Commentry → Bourges,FR,FR,92.68
TER,commentry,bourges,day,Commentry → Bourges,CH,CH,92.68
P23,commentry,montlucon,day,Commentry → Montlucon,FR,FR,12.03
TER,commentry,montlucon,day,Commentry → Montlucon,CH,CH,12.0
C46+,commercy,bar le duc,day,Commercy → Bar le Duc,FR,FR,30.91
C46+,commercy,revigny,day,Commercy → Revigny,FR,FR,44.65
S10,como camerlata,bellinzona,day,Como Camerlata → Bellinzona,CH,CH,45.86
EC,como s giovanni,basel bad bf,day,Como S Giovanni → Basel,CH,CH,225.22
EC,como s giovanni,chiasso,day,Como S Giovanni → Chiasso,CH,CH,4.11
S10,como s giovanni,mendrisio,day,Como S Giovanni → Mendrisio,CH,CH,9.89
EC,como s giovanni,zurich hb,day,Como S Giovanni → Zurich Hb,CH,CH,179.17
C14,compiegne,creil,day,Compiegne → Creil,FR,FR,31.12
K13,compiegne,maubeuge,day,Compiegne → Maubeuge,FR,FR,125.18
P14,compiegne,saint quentin,day,Compiegne → Saint Quentin,FR,FR,57.64
P57,conflans jarny,hagondange,day,Conflans Jarny → Hagondange,FR,FR,23.63
TER,conflans jarny,hagondange,day,Conflans Jarny → Hagondange,CH,CH,23.57
P47,conflans jarny,longwy,day,Conflans Jarny → Longwy,FR,FR,39.22
P560,conflans jarny,metz,day,Conflans Jarny → Metz,FR,FR,23.35
P57,conflans jarny,verdun,day,Conflans Jarny → Verdun,FR,FR,35.5
TER,conflans jarny,verdun,day,Conflans Jarny → Verdun,CH,CH,35.55
L2,coppet,annecy,day,Coppet → Annecy,FR,FR,46.46
L4,coppet,annemasse,day,Coppet → Annemasse,FR,FR,13.66
RE,coppet,etoy,day,Coppet → Etoy,CH,CH,25.39
L1,coppet,evian les bains,day,Coppet → Evian les Bains,FR,FR,31.21
RE,coppet,geneve aeroport,day,Coppet → Geneve Aeroport,CH,CH,11.09
R,coppet,geneve secheron,day,Coppet → Geneve Secheron,CH,CH,11.07
RE,coppet,lausanne,day,Coppet → Lausanne,CH,CH,40.45
L3,coppet,saint gervais les bains le fayet,day,Coppet → Saint Gervais les Bains le Fayet,FR,FR,60.46
L1,coppet,thonon les bains,day,Coppet → Thonon les Bains,FR,FR,23.27
RE,coppet,vevey,day,Coppet → Vevey,CH,CH,52.83
P85,corbigny,auxerre saint gervais,day,Corbigny → Auxerre Saint Gervais,FR,FR,60.76
P85,corbigny,clamecy,day,Corbigny → Clamecy,FR,FR,26.35
P12,cosne sur loire,nevers,day,Cosne Sur Loire → Nevers,FR,FR,50.24
TER,cosne sur loire,nevers,day,Cosne Sur Loire → Nevers,CH,CH,50.31
TER,cosne sur loire,nevers le banlay,day,Cosne Sur Loire → Nevers le Banlay,CH,CH,48.66
S21,courtepin,fribourg freiburg,day,Courtepin → Fribourg Freiburg,CH,CH,7.43
K80,courtrai,lille flandres,day,Courtrai → Lille Flandres,FR,FR,24.77
C12,coutances,caen,day,Coutances → Caen,FR,FR,81.01
C305,coutances,lison,day,Coutances → Lison,FR,FR,35.06
F41+,coutras,arcachon,day,Coutras → Arcachon,FR,FR,91.7
F41+,coutras,bordeaux saint jean,day,Coutras → Bordeaux Saint Jean,FR,FR,40.87
F32,coutras,niversac,day,Coutras → Niversac,FR,FR,74.63
F32,coutras,perigueux,day,Coutras → Perigueux,FR,FR,67.96
P10,creil,amiens,day,Creil → Amiens,FR,FR,70.66
K16,creil,calais ville,day,Creil → Calais Ville,FR,FR,192.99
K13,creil,cambrai,day,Creil → Cambrai,FR,FR,115.68
K12,creil,lille flandres,day,Creil → Lille Flandres,FR,FR,158.58
K13,creil,maubeuge,day,Creil → Maubeuge,FR,FR,155.42
K14,creil,saint quentin,day,Creil → Saint Quentin,FR,FR,87.58
INCONNU,crepy en valois,laon,day,Crepy En Valois → Laon,FR,FR,65.38
K15,crepy en valois,paris gare du nord,day,Crepy En Valois → Paris du Nord,FR,FR,55.0
R,cully,lausanne,day,Cully → Lausanne,CH,CH,8.14
R,cully,le day,day,Cully → le Day,CH,CH,35.93
R,cully,vallorbe,day,Cully → Vallorbe,CH,CH,36.9
EXT,cully,vevey,day,Cully → Vevey,CH,CH,9.35
TER,culmont chalindrey,nancy,day,Culmont Chalindrey → Nancy,CH,CH,111.8
C72,culmont chalindrey,reims,day,Culmont Chalindrey → Reims,FR,FR,192.07
TER,culmont chalindrey,reims,day,Culmont Chalindrey → Reims,CH,CH,192.05
C72+,culmont chalindrey,saint dizier,day,Culmont Chalindrey → Saint Dizier,FR,FR,99.55
TER,culmont chalindrey,saint dizier,day,Culmont Chalindrey → Saint Dizier,CH,CH,99.61
S12,dachsen,winterthur,day,Dachsen → Winterthur,CH,CH,20.29
P851,damblain eglise,nancy,day,Damblain Eglise → Nancy,FR,FR,76.26
EXT,davos dorf,st moritz,day,Davos Dorf → St Moritz,CH,CH,34.65
R,davos glaris,filisur,day,Davos Glaris → Filisur,CH,CH,10.77
EXT,davos platz,chur,day,Davos Platz → Chur,CH,CH,23.24
