route_name,origin,destination,service_type,route_name_simple,origin_country,destination_country
IC8,zurich hb,visp,night,Zurich Hb → Visp,CH,CH
IC8,bern,romanshorn,night,Bern → Romanshorn,CH,CH
IC81,romanshorn,thun,night,Romanshorn → Thun,CH,CH
IC81,romanshorn,spiez,night,Romanshorn → Spiez,CH,CH
IC81,zurich hb,interlaken ost,night,Zurich Hb → Interlaken Ost,CH,CH
IC8,brig,zurich flughafen,night,Brig → Zurich Flughafen,CH,CH
IC8,brig,winterthur,night,Brig → Winterthur,CH,CH
IC8,brig,aarau,night,Brig → Aarau,CH,CH
IC81,interlaken ost,frauenfeld,night,Interlaken Ost → Frauenfeld,CH,CH
IC81,interlaken ost,weinfelden,night,Interlaken Ost → Weinfelden,CH,CH
IC8,brig,frauenfeld,night,Brig → Frauenfeld,CH,CH
IC8,zurich hb,zollikofen,night,Zurich Hb → Zollikofen,CH,CH
IC2,zurich hb,lugano,night,Zurich Hb → Lugano,CH,CH
IC2,bellinzona,zurich hb,night,Bellinzona → Zurich Hb,CH,CH
IC2,altdorf ur,zurich hb,night,Altdorf Ur → Zurich Hb,CH,CH
IC2,mendrisio,zurich hb,night,Mendrisio → Zurich Hb,CH,CH
IC,chur,renens vd,night,Chur → Renens Vd,CH,CH
IC,geneve aeroport,sargans,night,Geneve Aeroport → Sargans,CH,CH
IC,chur,lausanne,night,Chur → Lausanne,CH,CH
IC61,interlaken ost,thun,night,Interlaken Ost → Thun,CH,CH
IC,schaffhausen,zurich hb,night,Schaffhausen → Zurich Hb,CH,CH
IC,jestetten,zurich hb,night,Jestetten → Zurich Hb,CH,CH
IC,zurich hb,ringsheim europa park,night,Zurich Hb → Ringsheim Europa Park,CH,CH
IC,zurich hb,domodossola i,night,Zurich Hb → Domodossola I,CH,CH
IC,zurich hb,simplontunnel,night,Zurich Hb → Simplontunnel,CH,CH
IC,bern,domodossola i,night,Bern → Domodossola I,CH,CH
IC,geneve aeroport,bahn 2000 strecke,night,Geneve Aeroport → Bahn 2000 Strecke,CH,CH
IC,geneve aeroport,zofingen,night,Geneve Aeroport → Zofingen,CH,CH
IC,lausanne,bellinzona,night,Lausanne → Bellinzona,CH,CH
IC2,arth goldau,zurich hb,night,Arth Goldau → Zurich Hb,CH,CH
IC,locarno,palezieux,night,Locarno → Palezieux,CH,CH
IC,locarno,lausanne,night,Locarno → Lausanne,CH,CH
IC,luzern,lausanne,night,Luzern → Lausanne,CH,CH
IC,cadenazzo,palezieux,night,Cadenazzo → Palezieux,CH,CH
IC,cadenazzo,luzern,night,Cadenazzo → Luzern,CH,CH
IC,chur,olten,night,Chur → Olten,CH,CH
IC51,delemont,basel sbb,night,Delemont → Basel Sbb,CH,CH
IC51,biel bienne,basel sbb,night,Biel Bienne → Basel Sbb,CH,CH
IC51,lausanne,basel sbb,night,Lausanne → Basel Sbb,CH,CH
IC51,yverdon les bains,basel sbb,night,Yverdon les Bains → Basel Sbb,CH,CH
IC51,lausanne,zwingen,night,Lausanne → Zwingen,CH,CH
IC51,lausanne,munchenstein,night,Lausanne → Munchenstein,CH,CH
IC51,lausanne,laufen,night,Lausanne → Laufen,CH,CH
IC51,munchenstein,delemont,night,Munchenstein → Delemont,CH,CH
IC51,laufen,delemont,night,Laufen → Delemont,CH,CH
IC51,zwingen,delemont,night,Zwingen → Delemont,CH,CH
IC51,renens vd,delemont,night,Renens Vd → Delemont,CH,CH
IR57,geneve aeroport,neuchatel,night,Geneve Aeroport → Neuchatel,CH,CH
IR95,sion,morges,night,Sion → Morges,CH,CH
IR95,sion,nyon,night,Sion → Nyon,CH,CH
IR95,sion,geneve aeroport,night,Sion → Geneve Aeroport,CH,CH
IR95,lausanne,leuk,night,Lausanne → Leuk,CH,CH
IR95,nyon,visp,night,Nyon → Visp,CH,CH
IR95,geneve aeroport,leuk,night,Geneve Aeroport → Leuk,CH,CH
IR95,geneve aeroport,martigny,night,Geneve Aeroport → Martigny,CH,CH
IR95,brig,morges,night,Brig → Morges,CH,CH
IR95,brig,nyon,night,Brig → Nyon,CH,CH
IR95,brig,renens vd,night,Brig → Renens Vd,CH,CH
IR95,brig,vevey,night,Brig → Vevey,CH,CH
IR95,geneve aeroport,bex,night,Geneve Aeroport → Bex,CH,CH
IR95,brig,montreux,night,Brig → Montreux,CH,CH
IR95,geneve aeroport,st maurice,night,Geneve Aeroport → St Maurice,CH,CH
IR95,geneve,martigny,night,Geneve → Martigny,CH,CH
IR95,geneve,sion,night,Geneve → Sion,CH,CH
IR95,geneve,st maurice,night,Geneve → St Maurice,CH,CH
IR95,geneve aeroport,villeneuve vd,night,Geneve Aeroport → Villeneuve Vd,CH,CH
IR95,geneve aeroport,aigle,night,Geneve Aeroport → Aigle,CH,CH
IR95,geneve,villeneuve vd,night,Geneve → Villeneuve Vd,CH,CH
IR95,renens vd,sion,night,Renens Vd → Sion,CH,CH
IR95,st maurice,sion,night,St Maurice → Sion,CH,CH
IR55,olten,biel bienne,night,Olten → Biel Bienne,CH,CH
IR55,olten,solothurn,night,Olten → Solothurn,CH,CH
IR90,geneve,sierre siders,night,Geneve → Sierre Siders,CH,CH
IR90,lausanne,visp,night,Lausanne → Visp,CH,CH
IR90,brig,st maurice,night,Brig → St Maurice,CH,CH
